"id","level","class_name","article","status","source","create_date","target_url"
58980,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-11-10T05:26:33Z",NA
58979,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-11-10T05:26:33Z",NA
58978,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-11-10T05:26:33Z",NA
58977,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-11-10T05:26:33Z",NA
58976,"FATAL","Faraday::ResourceNotFound",NA,404,"mendeley","2014-11-10T05:26:33Z",NA
52560,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-10-10T03:34:20Z",NA
52561,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-10-10T03:34:20Z",NA
52562,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-10-10T03:34:20Z",NA
52563,"FATAL","Faraday::ResourceNotFound",NA,404,"pmc","2014-10-10T03:34:20Z",NA
52559,"FATAL","Faraday::ResourceNotFound",NA,404,"mendeley","2014-10-10T03:34:19Z",NA
