"prefix","id","level","class_name","article","status","source","create_date","target_url","publisher"
"10.1016",59277,"ERROR","Net::HTTPInternalServerError","10.1016/j.alcohol.2010.12.005",500,"pmceuropedata","2014-11-14T10:21:39Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21376503/databaseLinks//1/json","Elsevier BV"
"10.4056",59276,"ERROR","Net::HTTPInternalServerError","10.4056/sigs.2485911",500,"pmceuropedata","2014-11-14T10:21:37Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22675605/databaseLinks//1/json","The Genomic Standards Consortium"
"10.1016",59275,"ERROR","Net::HTTPInternalServerError","10.1016/j.resuscitation.2011.06.015",500,"pmceuropedata","2014-11-14T10:21:34Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21752522/databaseLinks//1/json","Elsevier BV"
"10.6061",59274,"ERROR","Net::HTTPInternalServerError","10.6061/clinics/2012(08)23",500,"pmceuropedata","2014-11-14T10:20:31Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22948472/databaseLinks//1/json","Fundacao Faculdade de Medicina"
"10.1021",59273,"ERROR","Net::HTTPInternalServerError","10.1021/nl2003544",500,"pmceuropedata","2014-11-14T10:20:29Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21410159/databaseLinks//1/json","American Chemical Society (ACS)"
"10.1016",59272,"ERROR","Net::HTTPInternalServerError","10.1016/j.virol.2011.05.004",500,"pmceuropedata","2014-11-14T10:20:27Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21658737/databaseLinks//1/json","Elsevier BV"
"10.5090",59271,"ERROR","Net::HTTPInternalServerError","10.5090/kjtcs.2012.45.2.101",500,"pmceuropedata","2014-11-14T10:19:20Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22500280/databaseLinks//1/json","Korean Society for Thoracic and Cardiovascular Surgery (KAMJE)"
"10.1186",59270,"ERROR","Net::HTTPInternalServerError","10.1186/1750-9378-6-16",500,"pmceuropedata","2014-11-14T10:18:11Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22004990/databaseLinks//1/json","Springer Science + Business Media"
"10.1016",59269,"ERROR","Net::HTTPInternalServerError","10.1016/j.neuroscience.2013.09.015",500,"pmceuropedata","2014-11-14T10:18:10Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24045100/databaseLinks//1/json","Elsevier BV"
"10.1002",59261,"ERROR","Net::HTTPInternalServerError","10.1002/gps.3808",500,"pmceuropedata","2014-11-13T10:38:18Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22495689/databaseLinks//1/json","Wiley-Blackwell"
"10.1186",59260,"ERROR","Net::HTTPInternalServerError","10.1186/1472-6963-12-390",500,"pmceuropedata","2014-11-13T10:38:17Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23148550/databaseLinks//1/json","Springer Science + Business Media"
"10.1073",59259,"ERROR","Net::HTTPInternalServerError","10.1073/pnas.1121434109",500,"pmceuropedata","2014-11-13T10:38:16Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22308488/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.1073",59258,"ERROR","Net::HTTPInternalServerError","10.1073/pnas.1014872108",500,"pmceuropedata","2014-11-13T10:38:15Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21368187/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.1155",59257,"ERROR","Net::HTTPInternalServerError","10.1155/2012/603583",500,"pmceuropedata","2014-11-13T10:38:15Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23008785/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.3390",59256,"ERROR","Net::HTTPInternalServerError","10.3390/cancers3022302",500,"pmceuropedata","2014-11-13T10:38:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24212811/databaseLinks//1/json","MDPI AG"
"10.3390",59255,"ERROR","Net::HTTPInternalServerError","10.3390/ijms12021115",500,"pmceuropedata","2014-11-13T10:38:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21541047/databaseLinks//1/json","MDPI AG"
"10.1186",59254,"ERROR","Net::HTTPInternalServerError","10.1186/1471-2105-13-303",500,"pmceuropedata","2014-11-13T10:38:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23151247/databaseLinks//1/json","Springer Science + Business Media"
"10.1155",59253,"ERROR","Net::HTTPInternalServerError","10.1155/2012/816873",500,"pmceuropedata","2014-11-13T10:38:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22937360/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.3390",59252,"ERROR","Net::HTTPInternalServerError","10.3390/biom2010104",500,"pmceuropedata","2014-11-13T10:38:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24970129/databaseLinks//1/json","MDPI AG"
"10.1186",59251,"ERROR","Net::HTTPInternalServerError","10.1186/1750-1172-7-14",500,"pmceuropedata","2014-11-13T10:38:12Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22380742/databaseLinks//1/json","Springer Science + Business Media"
"10.3390",59250,"ERROR","Net::HTTPInternalServerError","10.3390/s120810500",500,"pmceuropedata","2014-11-13T10:38:11Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23112612/databaseLinks//1/json","MDPI AG"
"10.1073",59249,"ERROR","Net::HTTPInternalServerError","10.1073/pnas.1208507109",500,"pmceuropedata","2014-11-13T10:36:38Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22949671/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.1186",59248,"ERROR","Net::HTTPInternalServerError","10.1186/1756-0500-5-454",500,"pmceuropedata","2014-11-13T10:36:37Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22909315/databaseLinks//1/json","Springer Science + Business Media"
"10.4056",59247,"ERROR","Net::HTTPInternalServerError","10.4056/sigs.2456004",500,"pmceuropedata","2014-11-13T10:36:37Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22675602/databaseLinks//1/json","The Genomic Standards Consortium"
"10.1073",59246,"ERROR","Net::HTTPInternalServerError","10.1073/pnas.1218438110",500,"pmceuropedata","2014-11-13T10:36:36Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23267067/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.1155",59245,"ERROR","Net::HTTPInternalServerError","10.1155/2011/698139",500,"pmceuropedata","2014-11-13T10:36:36Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22937390/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1111",59244,"ERROR","Net::HTTPInternalServerError","10.1111/j.1476-5381.2011.01277.x",500,"pmceuropedata","2014-11-13T10:36:35Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21323908/databaseLinks//1/json","Wiley-Blackwell"
"10.3390",59243,"ERROR","Net::HTTPInternalServerError","10.3390/ijms12074250",500,"pmceuropedata","2014-11-13T10:36:34Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21845076/databaseLinks//1/json","MDPI AG"
"10.3390",59242,"ERROR","Net::HTTPInternalServerError","10.3390/ijerph8051478",500,"pmceuropedata","2014-11-13T10:36:34Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21655131/databaseLinks//1/json","MDPI AG"
"10.1186",59241,"ERROR","Net::HTTPInternalServerError","10.1186/1756-0500-5-658",500,"pmceuropedata","2014-11-13T10:34:57Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23191984/databaseLinks//1/json","Springer Science + Business Media"
"10.1186",59240,"ERROR","Net::HTTPInternalServerError","10.1186/1471-2334-12-355",500,"pmceuropedata","2014-11-13T10:34:56Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23245504/databaseLinks//1/json","Springer Science + Business Media"
"10.1016",59239,"ERROR","Net::HTTPInternalServerError","10.1016/j.mvr.2012.10.005",500,"pmceuropedata","2014-11-13T10:34:55Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23110920/databaseLinks//1/json","Elsevier BV"
"10.4046",59238,"ERROR","Net::HTTPInternalServerError","10.4046/trd.2012.73.6.331",500,"pmceuropedata","2014-11-13T10:34:55Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23319996/databaseLinks//1/json","The Korean Academy of Tuberculosis and Respiratory Diseases (KAMJE)"
"10.1155",59237,"ERROR","Net::HTTPInternalServerError","10.1155/2011/563204",500,"pmceuropedata","2014-11-13T10:34:54Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22937405/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1186",59236,"ERROR","Net::HTTPInternalServerError","10.1186/1477-5956-10-14",500,"pmceuropedata","2014-11-13T10:34:52Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22375954/databaseLinks//1/json","Springer Science + Business Media"
"10.1038",59235,"ERROR","Net::HTTPInternalServerError","10.1038/gim.2012.106",500,"pmceuropedata","2014-11-13T10:34:52Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22955111/databaseLinks//1/json","Nature Publishing Group"
"10.1111",59234,"ERROR","Net::HTTPInternalServerError","10.1111/j.1360-0443.2011.03635.x",500,"pmceuropedata","2014-11-13T10:33:17Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21883604/databaseLinks//1/json","Wiley-Blackwell"
"10.1073",59233,"ERROR","Net::HTTPInternalServerError","10.1073/pnas.1210047110",500,"pmceuropedata","2014-11-13T10:33:17Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23213262/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.3390",59232,"ERROR","Net::HTTPInternalServerError","10.3390/cancers3010913",500,"pmceuropedata","2014-11-13T10:33:16Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24212646/databaseLinks//1/json","MDPI AG"
"10.3390",59231,"ERROR","Net::HTTPInternalServerError","10.3390/s110404372",500,"pmceuropedata","2014-11-13T10:33:15Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22163852/databaseLinks//1/json","MDPI AG"
"10.1096",59230,"ERROR","Net::HTTPInternalServerError","10.1096/fj.12-218081",500,"pmceuropedata","2014-11-13T10:33:15Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23047896/databaseLinks//1/json","FASEB"
"10.1155",59229,"ERROR","Net::HTTPInternalServerError","10.1155/2011/848461",500,"pmceuropedata","2014-11-13T10:33:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22937313/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1105",59228,"ERROR","Net::HTTPInternalServerError","10.1105/tpc.112.102269",500,"pmceuropedata","2014-11-13T10:33:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23150632/databaseLinks//1/json","American Society of Plant Biologists (ASPB)"
"10.1186",59227,"ERROR","Net::HTTPInternalServerError","10.1186/1748-5908-8-14",500,"pmceuropedata","2014-11-13T10:33:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23351180/databaseLinks//1/json","Springer Science + Business Media"
"10.1155",59226,"ERROR","Net::HTTPInternalServerError","10.1155/2011/935951",500,"pmceuropedata","2014-11-13T10:33:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22162706/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1021",59225,"ERROR","Net::HTTPInternalServerError","10.1021/ja309468s",500,"pmceuropedata","2014-11-13T10:33:12Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23157728/databaseLinks//1/json","American Chemical Society (ACS)"
"10.1371",59060,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0014774",500,"pmceuropedata","2014-11-12T10:25:27Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21445339/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59059,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0033412",500,"pmceuropedata","2014-11-12T10:25:26Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22428046/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59058,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0031034",500,"pmceuropedata","2014-11-12T10:25:26Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22299048/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59057,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0032851",500,"pmceuropedata","2014-11-12T10:25:25Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22442672/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59056,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0021323",500,"pmceuropedata","2014-11-12T10:25:22Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21765893/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59055,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0019842",500,"pmceuropedata","2014-11-12T10:25:21Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21611202/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59054,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0020277",500,"pmceuropedata","2014-11-12T10:25:20Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21637860/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59053,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pmed.1000391",500,"pmceuropedata","2014-11-12T10:25:20Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21267059/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59052,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0027347",500,"pmceuropedata","2014-11-12T10:23:48Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22096555/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1007",59051,"ERROR","Net::HTTPInternalServerError","10.1007/s12282-011-0276-3",500,"pmceuropedata","2014-11-12T10:23:47Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21567170/databaseLinks//1/json","Springer Science + Business Media"
"10.1371",59050,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0026034",500,"pmceuropedata","2014-11-12T10:23:45Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22022498/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59049,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0029506",500,"pmceuropedata","2014-11-12T10:23:44Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22253732/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1093",59048,"ERROR","Net::HTTPInternalServerError","10.1093/scan/nss062",500,"pmceuropedata","2014-11-12T10:23:43Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22648957/databaseLinks//1/json","Oxford University Press (OUP)"
"10.1371",59047,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pbio.1001035",500,"pmceuropedata","2014-11-12T10:23:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21445331/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1186",59046,"ERROR","Net::HTTPInternalServerError","10.1186/2050-2974-1-20",500,"pmceuropedata","2014-11-12T10:23:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24999401/databaseLinks//1/json","Springer Science + Business Media"
"10.4103",59045,"ERROR","Net::HTTPInternalServerError","10.4103/0971-4065.107189",500,"pmceuropedata","2014-11-12T10:21:57Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23580800/databaseLinks//1/json","Medknow"
"10.4103",59044,"ERROR","Net::HTTPInternalServerError","10.4103/0971-3026.120264",500,"pmceuropedata","2014-11-12T10:21:56Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24347849/databaseLinks//1/json","Medknow"
