"prefix","id","level","class_name","article","create_date","target_url","publisher"
"10.3390",59278,"WARN","Net::HTTPRequestTimeOut","10.3390/genes3030361","2014-11-14T11:48:38Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24704974/databaseLinks//1/json","MDPI AG"
"10.1371",59267,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0108255","2014-11-14T00:10:53Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/25251072/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1155",59266,"WARN","Net::HTTPRequestTimeOut","10.1155/2013/907136","2014-11-13T23:26:19Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23840979/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.3390",59264,"WARN","Net::HTTPRequestTimeOut","10.3390/genes3030361","2014-11-13T14:35:33Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24704974/databaseLinks//1/json","MDPI AG"
"10.3390",59263,"WARN","Net::HTTPRequestTimeOut","10.3390/genes3030361","2014-11-13T11:49:00Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24704974/databaseLinks//1/json","MDPI AG"
"10.3390",59262,"WARN","Net::HTTPRequestTimeOut","10.3390/genes3030361","2014-11-13T11:26:10Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24704974/databaseLinks//1/json","MDPI AG"
"10.1073",59224,"WARN","Net::HTTPRequestTimeOut","10.1073/pnas.1121491109","2014-11-13T09:30:44Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22315421/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.3390",59223,"WARN","Net::HTTPRequestTimeOut","10.3390/genes3030361","2014-11-13T09:27:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24704974/databaseLinks//1/json","MDPI AG"
"10.3390",59222,"WARN","Net::HTTPRequestTimeOut","10.3390/genes3030361","2014-11-13T08:35:32Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24704974/databaseLinks//1/json","MDPI AG"
"10.1186",59219,"WARN","Net::HTTPRequestTimeOut","10.1186/1472-6920-12-119","2014-11-13T04:53:55Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23176318/databaseLinks//1/json","Springer Science + Business Media"
