"prefix","id","level","class_name","create_date","target_url","publisher"
"10.4314",1568207,"WARN","Net::HTTPRequestTimeOut","2014-10-11T06:40:45Z","https://api.elsevier.com/content/search/index:SCOPUS?query=DOI(10.4314%2Fwsa.v40i1.13)","African Journals Online (AJOL)"
"10.1111",1560509,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:34:39Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.1111%2Fj.2153-3490.1957.tb01897.x&idtype=doi","Wiley-Blackwell"
"10.1111",1560508,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:32:26Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.1111%2Fj.2153-3490.1953.tb01072.x&idtype=doi","Wiley-Blackwell"
"10.15517",1560507,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:31:45Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.15517%2Faie.v7i3.9285&idtype=doi","Universidad de Costa Rica"
"10.1111",1560506,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:31:42Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.1111%2Fj.2153-3490.1949.tb01256.x&idtype=doi","Wiley-Blackwell"
"10.9789",1560505,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:30:53Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.9789%2F2175-5361.2013v5n2p3572&idtype=doi","Universidade Federal do Estado do Rio de Janeiro UNIRIO"
"10.5130",1560504,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:30:46Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.5130%2Fportal.v8i1.1627&idtype=doi","University of Technology, Sydney (UTS)"
"10.3329",1560503,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:30:18Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3329%2Fbjms.v1i4.15547&idtype=doi","Bangladesh Journals Online (JOL)"
"10.3329",1560502,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:30:07Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3329%2Fbjas.v37i2.9881&idtype=doi","Bangladesh Journals Online (JOL)"
"10.3329",1560501,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:29:17Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3329%2Fbjms.v10i4.9506&idtype=doi","Bangladesh Journals Online (JOL)"
"10.3125",1560500,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:29:12Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3125%2Fhists.v4i0.329&idtype=doi","Vietnam Journals Online (JOL)"
"10.3329",1560499,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:29:10Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3329%2Fjdnmch.v18i1.12224&idtype=doi","Bangladesh Journals Online (JOL)"
"10.3329",1560498,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:29:09Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3329%2Fcbmj.v1i1.13854&idtype=doi","Bangladesh Journals Online (JOL)"
"10.3329",1560497,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:29:03Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3329%2Fjesnr.v4i2.10123&idtype=doi","Bangladesh Journals Online (JOL)"
"10.3329",1560496,"WARN","Net::HTTPRequestTimeOut","2014-10-10T07:28:13Z","http://www.pubmedcentral.nih.gov/utils/idconv/v1.0/?format=json&ids=10.3329%2Fkyamcj.v3i2.15170&idtype=doi","Bangladesh Journals Online (JOL)"
