"id","level","class_name","article","status","source","create_date","target_url"
1642730,"ERROR","StandardError",NA,NA,NA,"2014-11-21T00:00:19Z",NA
1642723,"ERROR","StandardError",NA,NA,NA,"2014-11-20T20:00:23Z",NA
1642437,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-20T17:07:27Z",NA
1642184,"ERROR","StandardError",NA,NA,NA,"2014-11-20T16:00:23Z",NA
1642166,"ERROR","StandardError",NA,NA,NA,"2014-11-20T12:00:35Z",NA
1642154,"ERROR","StandardError",NA,NA,NA,"2014-11-20T08:00:20Z",NA
1642102,"ERROR","StandardError",NA,NA,NA,"2014-11-20T04:00:23Z",NA
1642098,"ERROR","StandardError",NA,NA,NA,"2014-11-20T00:00:21Z",NA
1642086,"ERROR","StandardError",NA,NA,NA,"2014-11-19T20:00:19Z",NA
1642041,"ERROR","StandardError",NA,NA,NA,"2014-11-19T16:00:22Z",NA
1642040,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-19T12:27:21Z",NA
1642039,"ERROR","StandardError",NA,NA,NA,"2014-11-19T12:00:21Z",NA
1642031,"ERROR","StandardError",NA,NA,NA,"2014-11-19T08:00:17Z",NA
1642029,"ERROR","StandardError",NA,NA,NA,"2014-11-19T04:00:19Z",NA
1641557,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-19T03:41:54Z",NA
1641156,"ERROR","StandardError",NA,NA,NA,"2014-11-19T00:00:22Z",NA
1641154,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-18T21:25:59Z",NA
1641051,"ERROR","StandardError",NA,NA,NA,"2014-11-18T20:00:20Z",NA
1641043,"ERROR","StandardError",NA,NA,NA,"2014-11-18T16:00:20Z",NA
1641023,"ERROR","StandardError",NA,NA,NA,"2014-11-18T12:00:21Z",NA
1641021,"ERROR","StandardError",NA,NA,NA,"2014-11-18T08:00:23Z",NA
1641015,"ERROR","StandardError",NA,NA,NA,"2014-11-18T04:00:20Z",NA
1640488,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-18T03:40:51Z",NA
1640295,"ERROR","StandardError",NA,NA,NA,"2014-11-18T00:00:20Z",NA
1640294,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-17T20:33:56Z",NA
1640293,"ERROR","StandardError",NA,NA,NA,"2014-11-17T20:00:22Z",NA
1640288,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-17T18:57:15Z",NA
1640279,"ERROR","StandardError",NA,NA,NA,"2014-11-17T16:00:23Z",NA
1640209,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-17T15:11:12Z",NA
1640162,"ERROR","StandardError",NA,NA,NA,"2014-11-17T12:00:15Z",NA
1640155,"ERROR","StandardError",NA,NA,NA,"2014-11-17T08:00:23Z",NA
1640154,"ERROR","StandardError",NA,NA,NA,"2014-11-17T04:00:20Z",NA
1639612,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-17T01:17:53Z",NA
1639282,"ERROR","StandardError",NA,NA,NA,"2014-11-17T00:00:23Z",NA
1639248,"ERROR","StandardError",NA,NA,NA,"2014-11-16T20:00:22Z",NA
1639176,"ERROR","StandardError",NA,NA,NA,"2014-11-16T16:00:20Z",NA
1639174,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-16T13:03:51Z",NA
1639082,"ERROR","StandardError",NA,NA,NA,"2014-11-16T12:00:16Z",NA
1639080,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-16T11:28:18Z",NA
1639076,"ERROR","StandardError",NA,NA,NA,"2014-11-16T08:00:19Z",NA
1639069,"ERROR","StandardError",NA,NA,NA,"2014-11-16T04:00:20Z",NA
1638564,"FATAL","TooManyErrorsBySourceError",NA,NA,"wordpress","2014-11-16T01:16:51Z",NA
